Alice, 5, 12.01.2023
Alice, 8, 28.01.2023
Alice, 10, 10.02.2023
Alice, 12, 02.03.2023
Alice, 4, 18.03.2023
Alice, 7, 05.04.2023
Alice, 6, 20.04.2023
Alice, 9, 08.05.2023
Alice, 3, 22.05.2023
Alice, 10, 06.06.2023
Alice, 5, 23.06.2023
Alice, 8, 09.07.2023
Alice, 11, 26.07.2023
Alice, 6, 11.08.2023
Alice, 14, 29.08.2023
Alice, 7, 13.09.2023
Alice, 9, 29.09.2023
Alice, 3, 14.10.2023
Alice, 5, 30.10.2023
Alice, 12, 16.11.2023
Alice, 8, 03.12.2023
Bob, 10, 15.01.2023
Bob, 6, 02.02.2023
Bob, 4, 19.02.2023
Bob, 12, 06.03.2023
Bob, 7, 24.03.2023
Bob, 3, 10.04.2023
Bob, 15, 27.04.2023
Bob, 8, 14.05.2023
Bob, 11, 30.05.2023
Bob, 5, 15.06.2023
Bob, 9, 01.07.2023
Bob, 6, 17.07.2023
Bob, 4, 02.08.2023
Bob, 10, 19.08.2023
Bob, 7, 05.09.2023
Bob, 14, 22.09.2023
Bob, 8, 08.10.2023
Bob, 5, 24.10.2023
Bob, 12, 10.11.2023
Bob, 6, 26.11.2023
Bob, 10, 13.12.2023
Charlie, 9, 20.01.2023
Charlie, 11, 05.02.2023
Charlie, 5, 22.02.2023
Charlie, 8, 11.03.2023
Charlie, 6, 29.03.2023
Charlie, 14, 13.04.2023
Charlie, 7, 30.04.2023
Charlie, 10, 17.05.2023
Charlie, 4, 02.06.2023
Charlie, 9, 19.06.2023
Charlie, 6, 05.07.2023
Charlie, 12, 22.07.2023
Charlie, 8, 08.08.2023
Charlie, 5, 25.08.2023
Charlie, 11, 11.09.2023
Charlie, 7, 28.09.2023
Charlie, 15, 15.10.2023
Charlie, 8, 31.10.2023
Charlie, 4, 17.11.2023
Charlie, 10, 04.12.2023
Charlie, 6, 20.12.2023
David, 6, 14.01.2023
David, 10, 31.01.2023
David, 8, 16.02.2023
David, 4, 04.03.2023
David, 12, 20.03.2023
David, 7, 06.04.2023
David, 9, 23.04.2023
David, 5, 09.05.2023
David, 10, 26.05.2023
David, 6, 11.06.2023
David, 15, 28.06.2023
David, 8, 14.07.2023
David, 5, 31.07.2023
David, 11, 16.08.2023
David, 7, 02.09.2023
David, 9, 19.09.2023
David, 3, 05.10.2023
David, 6, 22.10.2023
David, 13, 08.11.2023
David, 9, 25.11.2023
David, 5, 12.12.2023
Emily, 10, 18.01.2023
Emily, 6, 03.02.2023
Emily, 4, 20.02.2023
Emily, 12, 08.03.2023
Emily, 7, 24.03.2023
Emily, 3, 10.04.2023
Emily, 15, 27.04.2023
Emily, 8, 14.05.2023
Emily, 11, 30.05.2023
Emily, 5, 15.06.2023
Emily, 9, 01.07.2023
Emily, 6, 17.07.2023
Emily, 4, 02.08.2023
Emily, 10, 19.08.2023
Emily, 7, 05.09.2023
Emily, 14, 22.09.2023
Emily, 8, 08.10.2023
Emily, 5, 24.10.2023
Emily, 12, 10.11.2023
Emily, 6, 26.11.2023
Emily, 10, 13.12.2023
Fiona, 8, 22.01.2023
Fiona, 11, 07.02.2023
Fiona, 5, 24.02.2023
Fiona, 9, 13.03.2023
Fiona, 6, 31.03.2023
Fiona, 14, 15.04.2023
Fiona, 10, 02.05.2023
Fiona, 4, 18.05.2023
Fiona, 8, 04.06.2023
Fiona, 7, 20.06.2023
Fiona, 12, 07.07.2023
Fiona, 9, 23.07.2023
Fiona, 6, 08.08.2023
Fiona, 11, 25.08.2023
Fiona, 7, 10.09.2023
Fiona, 13, 27.09.2023
Fiona, 9, 14.10.2023
Fiona, 5, 30.10.2023
Fiona, 10, 16.11.2023
Fiona, 6, 02.12.2023
Fiona, 10, 19.12.2023
George, 9, 26.01.2023
George, 5, 11.02.2023
George, 8, 28.02.2023
George, 6, 17.03.2023
George, 14, 03.04.2023
George, 10, 20.04.2023
George, 4, 06.05.2023
George, 9, 23.05.2023
George, 6, 08.06.2023
George, 11, 25.06.2023
George, 7, 11.07.2023
George, 15, 28.07.2023
George, 8, 14.08.2023
George, 5, 31.08.2023
George, 12, 16.09.2023
George, 7, 02.10.2023
George, 9, 19.10.2023
George, 3, 04.11.2023
George, 6, 21.11.2023
George, 13, 07.12.2023
George, 8, 24.12.2023
Hannah, 11, 30.01.2023
Hannah, 5, 15.02.2023
Hannah, 8, 03.03.2023
Hannah, 4, 19.03.2023
Hannah, 12, 05.04.2023
Hannah, 7, 22.04.2023
Hannah, 9, 08.05.2023
Hannah, 5, 24.05.2023
Hannah, 11, 09.06.2023
Hannah, 6, 26.06.2023
Hannah, 14, 13.07.2023
Hannah, 8, 29.07.2023
Hannah, 5, 14.08.2023
Hannah, 10, 31.08.2023
Hannah, 7, 16.09.2023
Hannah, 13, 02.10.2023
Hannah, 8, 19.10.2023
Hannah, 4, 04.11.2023
Hannah, 6, 21.11.2023
Hannah, 12, 08.12.2023
Hannah, 9, 25.12.2023
Isaac, 6, 05.01.2023
Isaac, 10, 22.01.2023
Isaac, 8, 07.02.2023
Isaac, 4, 24.02.2023
Isaac, 12, 13.03.2023
Isaac, 7, 31.03.2023
Isaac, 9, 16.04.2023
Isaac, 5, 02.05.2023
Isaac, 10, 19.05.2023
Isaac, 6, 04.06.2023
Isaac, 15, 21.06.2023
